Tick,Project,Traditional,Static
0,0.0,0.0,0.0
200,0.0,150186.44681524503,20680.765338442594
400,0.0,152883.51138793322,24273.257839975427
600,0.0,212168.90438090207,37754.43726345294
800,902.3218070008734,140866.22678051842,26032.892409937485
1000,905.0716041066335,84831.14002712333,-2885.654131841162
1200,904.7707587372861,55880.89559277819,-5603.432672407667
1400,905.4305073535215,26915.035756389756,-15552.280524249349
1600,905.1760832395958,-2085.075685263888,-11048.268627492522
1800,905.7651602086116,8768.40986424488,-23712.267165773563
2000,905.7485510216648,16913.169087750444,-24617.12691204506
2200,906.8254724344588,-48305.289193312165,-41831.13558410662
2400,907.3316866404493,-101783.43982261271,-51801.32843186076
2600,907.9447137252719,-202483.0382084123,-57248.69481419639
2800,907.5899405911332,-178018.66159599824,-51818.48224004755
3000,907.0927106733434,-71091.77233512985,-37322.08208873667
3200,906.7038692052156,-67468.45814395015,-24643.39637599705
3400,906.6416923215293,-43927.88532429353,-24648.872200530925
3600,907.7931397909706,-106462.86755341812,-45500.09464520783
3800,905.7888708082028,-57593.01094904499,-21049.49897261501
4000,906.3481925263623,-57593.64288915136,-24679.04273440632
4200,907.1744872178679,-134612.9274788736,-33743.892161443495
4400,906.2365653561865,-53114.22628798054,-12915.376963256058
4600,906.6082467398373,-59470.069457487865,-10200.885914381652
4800,909.2436964637309,-194687.17407388514,-31999.63726826693
5000,911.158389679942,-274764.5904709854,-52930.44177003016
5200,911.2651298689452,-257478.62299703006,-50201.076425719504
5400,910.3695637385536,-168385.53062551646,-32926.98891933769
5600,911.0068281843269,-192042.7487192867,-35659.56512735976
5800,910.6587819697306,-165674.7104888017,-26567.37462585597
6000,911.2509124652715,-175680.24318889063,-35664.306419456785
6200,911.0844495995989,-197519.45244964454,-35668.135841795716
6400,911.4927441261534,-213907.80510031257,-39316.606468019534
6600,911.2776771552744,-238484.59761659947,-32947.30052918318
6800,911.6693850744196,-240308.304877576,-38412.91098354043
7000,911.4796425525419,-250320.50844063566,-40235.151319134864
7200,912.3646633376193,-349631.3095291038,-52990.39269319651
7400,911.7100538869854,-265893.7252445912,-44799.633129279966
7600,912.6885137955105,-327846.02127045684,-60291.12875076154
7800,911.9392580425192,-326054.3338792261,-41168.15557395737
8000,911.5449724868085,-265990.399016492,-35712.51142907358
8200,911.028936197632,-200511.19207938854,-24805.632677257163
8400,911.4138619182631,-282464.1708001383,-32096.565622272523
8600,912.2922718913032,-304356.5600358242,-47584.71050329753
8800,911.8271694611176,-248883.21896916698,-46678.00239871865
9000,911.3756042966706,-222496.86723869966,-42133.37746841874
9200,912.9525398254336,-330920.6927447927,-68565.33260247919
9400,913.5349873559026,-354627.01329177374,-74953.1420466668
9600,913.5831395068817,-354627.15774822666,-80432.188044975
9800,912.7562251514319,-237980.7159543994,-66762.19932566753
10000,913.3741011949605,-324625.5210868301,-77716.30626015324
10200,911.8152548016078,-241743.6408123614,-65875.06212059679
10400,912.8654418394726,-236274.9541715037,-75895.61255309891
10600,913.5056903864897,-298380.87020107545,-71355.48313785427
10800,911.5539776149817,-238292.19564744344,-54057.66607263283
11000,907.8529862335272,-56711.06098067174,-15018.02753753461
11200,908.2645054892637,-24092.356671789967,-17749.90172076074
11400,907.010107025606,19310.242286253575,-4167.7393849700165
11600,906.2836595397966,28359.276277302546,14849.469202057851
11800,906.6885358565924,7519.190197031334,12134.205358781837
12000,909.0947575629543,-117706.87285537635,-6020.856391021443
12200,908.8576739180571,-106823.20268385294,3963.4344762280816
12400,909.1969993783423,-130468.75804013005,-2400.4214479851944
12600,909.1777898419678,-147726.22771833077,-4216.402168290791
12800,908.0879031107761,-17093.77564913289,13929.215214287091
13000,910.3909922237508,-64389.745568380466,-2439.3380033171416
13200,909.6294145626598,-84390.04573141795,12088.612261750517
13400,910.6284215193591,-144384.25031909105,-7005.1234224963555
13600,909.2863273078983,-189850.96366399282,7526.006551701605
